Site,season1visit1,season1visit2,season2visit1,season2visit2,habitatIndex
1,0,0,0,0,2.43
2,0,0,0,0,1.58
3,0,0,0,0,1.58
4,1,0,1,1,4.74
5,0,0,0,0,2.57
6,0,0,0,0,2.18
7,0,0,0,1,4.45
8,1,1,0,0,1.04
9,0,0,0,0,1.78
10,0,0,0,0,3.82
11,1,0,1,0,3.88
12,1,0,0,0,3.61
13,1,1,1,1,1.64
14,0,0,0,0,3.9
15,0,0,0,0,3.1
16,0,0,0,0,3.71
17,0,0,0,0,2
18,0,0,0,0,3.48
19,0,0,0,0,1.34
20,0,1,1,0,3.95
21,0,0,0,0,1.64
22,1,1,0,0,4.53
23,0,0,1,1,3.81
24,0,0,0,0,1.71
25,0,0,0,0,1.19
26,1,1,0,0,1.92
27,1,0,1,1,2.89
28,0,0,1,0,4.27
29,1,1,0,1,3.17
30,1,1,1,1,3.77
31,0,0,0,0,4.69
32,1,1,1,0,1.54
33,0,1,0,0,4.57
34,1,0,1,0,2.72
35,1,0,1,1,4.35
36,1,1,0,1,2.45
37,0,0,0,0,1.97
38,0,1,0,1,2.58
39,1,1,0,0,2.58
40,1,1,1,0,3.35
